Time,turbineStress.stress.inStress,turbineStress.stress.outStress,simpleGenerator.summary.P_el,GW_CWS1_Valve_Ramp_Cold_HT_out3.y
2370.0,0.17050706,0.27675673,620226900.0,0.02
2380.0,0.17066672,0.28242788,620228100.0,0.02
2380.0,0.17614654,0.2768375,620228100.0,0.02
2390.0,0.1763062,0.28250864,620229300.0,0.02
2390.0,0.18176462,0.2769408,620229300.0,0.02
2400.0,0.18192428,0.28261194,620230500.0,0.02
2400.0,0.187363,0.2770658,620230500.0,0.02
2410.0,0.18752266,0.28273696,620231740.0,0.02
2410.0,0.19294308,0.27721187,620231740.0,0.02
2420.0,0.19310275,0.28288302,620232960.0,0.02
2420.0,0.19850606,0.27737823,620232960.0,0.02
2430.0,0.19866572,0.28304937,620234200.0,0.02
2430.0,0.20405293,0.27756423,620234200.0,0.02
2440.0,0.20421259,0.28323534,620235460.0,0.02
2440.0,0.20958456,0.27776915,620235460.0,0.02
2450.0,0.20974423,0.2834403,620236700.0,0.02
2450.0,0.21510167,0.27799243,620236700.0,0.02
2460.0,0.21526134,0.28366354,620237900.0,0.02
2460.0,0.2206049,0.27823335,620237900.0,0.02
2470.0,0.22076456,0.2839045,620239100.0,0.02
2470.0,0.22609478,0.27849138,620239100.0,0.02
2480.0,0.22625445,0.2841625,620240300.0,0.02
2480.0,0.2315718,0.2787659,620240300.0,0.02
2490.0,0.23173146,0.284437,620241540.0,0.02
2490.0,0.23703635,0.27905628,620241540.0,0.02
2500.0,0.2371515,0.2831464,620242400.0,0.02
2500.0,0.24240273,0.2778165,620242400.0,0.02
2510.0,0.24234782,0.27586618,620238460.0,0.02
2510.0,0.24738939,0.2707209,620238460.0,0.02
2520.0,0.24617277,0.22750875,620205300.0,0.02
